Year;Records;Percentage
1973;8;0.000
1974;907;0.028
1975;566335;17.212
1976;606630;18.436
1977;683686;20.778
1978;703922;21.393
1979;728893;22.152
1980;749401;1.540
1981;775607;1.594
1982;810957;1.667
1983;875191;1.799
1984;893753;1.837
1985;893548;1.837
1986;909205;1.869
1987;920217;1.891
1988;901629;1.853
1989;856685;1.761
1990;880940;1.811
1991;901921;1.854
1992;921918;1.895
1993;1102116;2.265
1994;1160723;2.386
1995;1211792;2.491
1996;1269800;2.610
1997;1303375;2.679
1998;1314948;2.703
1999;1303540;2.679
2000;1348032;2.771
2001;1326495;2.726
2002;1372605;2.821
2003;1437317;2.954
2004;1533077;3.151
2005;1653631;3.399
2006;1740985;3.578
2007;1888517;3.882
2008;2006224;4.124
2009;2122498;4.363
2010;2092669;4.301
2011;2191233;4.504
2012;2296992;4.721
2013;2369192;4.870
2014;2260550;4.646
2015;1055796;2.170
