tag;field
FN;File Name
VR;Version Number
PT;Publication Type (conference, book, journal, book in series, or patent)
AU;Authors
AF;Author Full Name
CA;Group Authors
TI;Document Title
ED;Editors
SO;Publication Name
SE;Book Series Title
BS;Book Series Subtitle
LA;Language
DT;Document Type
CT;Conference Title
CY;Conference Date
HO;Conference Host
CL;Conference Location
SP;Conference Sponsors
DE;Author Keywords
ID;Keywords Plus¨
AB;Abstract
C1;Author Address
RP;Reprint Address
EM;E-mail Address
FU;Funding Agency and Grant Number
FX;Funding Text
CR;Cited References
NR;Cited Reference Count
TC;Times Cited
PU;Publisher
PI;Publisher City
PA;Publisher Address
SC;Subject Category
SN;ISSN
BN;ISBN
J9;29-Character Source Abbreviation
JI;ISO Source Abbreviation
PD;Publication Date
PY;Year Published
VL;Volume
IS;Issue
PN;Part Number
SU;Supplement
SI;Special Issue
BP;Beginning Page
EP;Ending Page
AR;Article Number
PG;Page Count
DI;Digital Object Identifier (DOI)
SC;Subject Category
GA;Document Delivery Number
UT;Unique Article Identifier
ER;End of Record
EF;End of File
